p1,prob_B_wins
1.000000000000000021e-02,1.000000000000000000e+00
2.000000000000000042e-02,9.999900000000000455e-01
2.999999999999999889e-02,9.999599999999999600e-01
4.000000000000000083e-02,9.999599999999999600e-01
5.000000000000000278e-02,9.998799999999999910e-01
5.999999999999999778e-02,9.998399999999999510e-01
7.000000000000000666e-02,9.996000000000000441e-01
8.000000000000000167e-02,9.992999999999999661e-01
8.999999999999999667e-02,9.988200000000000411e-01
1.000000000000000056e-01,9.981700000000000017e-01
1.100000000000000006e-01,9.965199999999999614e-01
1.199999999999999956e-01,9.952900000000000080e-01
1.300000000000000044e-01,9.925699999999999523e-01
1.400000000000000133e-01,9.895800000000000152e-01
1.499999999999999944e-01,9.866300000000000070e-01
1.600000000000000033e-01,9.809299999999999686e-01
1.700000000000000122e-01,9.739499999999999824e-01
1.799999999999999933e-01,9.677900000000000391e-01
1.900000000000000022e-01,9.585799999999999876e-01
2.000000000000000111e-01,9.464000000000000190e-01
2.099999999999999922e-01,9.361099999999999977e-01
2.200000000000000011e-01,9.206999999999999629e-01
2.300000000000000100e-01,9.050700000000000411e-01
2.399999999999999911e-01,8.886300000000000310e-01
2.500000000000000000e-01,8.667000000000000259e-01
2.600000000000000089e-01,8.434800000000000075e-01
2.700000000000000178e-01,8.201600000000000001e-01
2.800000000000000266e-01,7.951700000000000434e-01
2.899999999999999800e-01,7.678599999999999870e-01
2.999999999999999889e-01,7.398400000000000531e-01
3.099999999999999978e-01,7.059400000000000119e-01
3.200000000000000067e-01,6.740699999999999470e-01
3.300000000000000155e-01,6.411400000000000432e-01
3.400000000000000244e-01,6.055899999999999617e-01
3.500000000000000333e-01,5.691699999999999537e-01
3.599999999999999867e-01,5.384900000000000242e-01
3.699999999999999956e-01,4.995700000000000141e-01
3.800000000000000044e-01,4.628900000000000237e-01
3.900000000000000133e-01,4.259200000000000208e-01
4.000000000000000222e-01,3.899000000000000243e-01
4.100000000000000311e-01,3.551500000000000212e-01
4.199999999999999845e-01,3.237300000000000177e-01
4.299999999999999933e-01,2.907600000000000184e-01
4.400000000000000022e-01,2.591499999999999915e-01
4.500000000000000111e-01,2.313699999999999923e-01
4.600000000000000200e-01,2.007899999999999963e-01
4.700000000000000289e-01,1.752199999999999869e-01
4.799999999999999822e-01,1.531899999999999928e-01
4.899999999999999911e-01,1.321599999999999997e-01
5.000000000000000000e-01,1.108200000000000018e-01
